run,device,device_size,page_size,size,time
0,/dev/nvme0n1,2000398934016,4096,1048576,1.108352
1,/dev/nvme0n1,2000398934016,4096,1048576,1.146500
2,/dev/nvme0n1,2000398934016,4096,1048576,1.105408
3,/dev/nvme0n1,2000398934016,4096,1048576,1.085879
4,/dev/nvme0n1,2000398934016,4096,1048576,1.143315
5,/dev/nvme0n1,2000398934016,4096,1048576,1.094201
6,/dev/nvme0n1,2000398934016,4096,1048576,1.085248
7,/dev/nvme0n1,2000398934016,4096,1048576,1.078517
8,/dev/nvme0n1,2000398934016,4096,1048576,1.076084
9,/dev/nvme0n1,2000398934016,4096,1048576,1.075493
10,/dev/nvme0n1,2000398934016,4096,1048576,1.150797
11,/dev/nvme0n1,2000398934016,4096,1048576,1.117026
12,/dev/nvme0n1,2000398934016,4096,1048576,1.100941
13,/dev/nvme0n1,2000398934016,4096,1048576,1.075623
14,/dev/nvme0n1,2000398934016,4096,1048576,1.085007
15,/dev/nvme0n1,2000398934016,4096,1048576,1.071637
16,/dev/nvme0n1,2000398934016,4096,1048576,1.077596
17,/dev/nvme0n1,2000398934016,4096,1048576,1.094582
18,/dev/nvme0n1,2000398934016,4096,1048576,1.080160
19,/dev/nvme0n1,2000398934016,4096,1048576,1.073250
20,/dev/nvme0n1,2000398934016,4096,1048576,1.121843
21,/dev/nvme0n1,2000398934016,4096,1048576,1.055733
22,/dev/nvme0n1,2000398934016,4096,1048576,1.072038
23,/dev/nvme0n1,2000398934016,4096,1048576,1.087791
24,/dev/nvme0n1,2000398934016,4096,1048576,1.087041
25,/dev/nvme0n1,2000398934016,4096,1048576,1.080771
26,/dev/nvme0n1,2000398934016,4096,1048576,1.084777
27,/dev/nvme0n1,2000398934016,4096,1048576,1.083805
28,/dev/nvme0n1,2000398934016,4096,1048576,1.112198
29,/dev/nvme0n1,2000398934016,4096,1048576,1.077156
30,/dev/nvme0n1,2000398934016,4096,1048576,1.063435
31,/dev/nvme0n1,2000398934016,4096,1048576,1.097656
32,/dev/nvme0n1,2000398934016,4096,1048576,1.103546
33,/dev/nvme0n1,2000398934016,4096,1048576,1.061742
34,/dev/nvme0n1,2000398934016,4096,1048576,1.055824
35,/dev/nvme0n1,2000398934016,4096,1048576,1.092889
36,/dev/nvme0n1,2000398934016,4096,1048576,1.077847
37,/dev/nvme0n1,2000398934016,4096,1048576,1.123516
38,/dev/nvme0n1,2000398934016,4096,1048576,1.085047
39,/dev/nvme0n1,2000398934016,4096,1048576,1.088703
40,/dev/nvme0n1,2000398934016,4096,1048576,1.059199
41,/dev/nvme0n1,2000398934016,4096,1048576,1.119370
42,/dev/nvme0n1,2000398934016,4096,1048576,1.071176
43,/dev/nvme0n1,2000398934016,4096,1048576,1.085077
44,/dev/nvme0n1,2000398934016,4096,1048576,1.075072
45,/dev/nvme0n1,2000398934016,4096,1048576,1.116936
46,/dev/nvme0n1,2000398934016,4096,1048576,1.143476
47,/dev/nvme0n1,2000398934016,4096,1048576,1.127882
48,/dev/nvme0n1,2000398934016,4096,1048576,1.080731
49,/dev/nvme0n1,2000398934016,4096,1048576,1.147211
50,/dev/nvme0n1,2000398934016,4096,1048576,1.082553
51,/dev/nvme0n1,2000398934016,4096,1048576,1.082013
52,/dev/nvme0n1,2000398934016,4096,1048576,1.078037
53,/dev/nvme0n1,2000398934016,4096,1048576,1.102173
54,/dev/nvme0n1,2000398934016,4096,1048576,1.121913
55,/dev/nvme0n1,2000398934016,4096,1048576,1.069403
56,/dev/nvme0n1,2000398934016,4096,1048576,1.077226
57,/dev/nvme0n1,2000398934016,4096,1048576,1.075272
58,/dev/nvme0n1,2000398934016,4096,1048576,1.067401
59,/dev/nvme0n1,2000398934016,4096,1048576,1.110446
60,/dev/nvme0n1,2000398934016,4096,1048576,1.075273
61,/dev/nvme0n1,2000398934016,4096,1048576,1.068612
62,/dev/nvme0n1,2000398934016,4096,1048576,1.118598
63,/dev/nvme0n1,2000398934016,4096,1048576,1.089394
64,/dev/nvme0n1,2000398934016,4096,1048576,1.170016
65,/dev/nvme0n1,2000398934016,4096,1048576,1.067922
66,/dev/nvme0n1,2000398934016,4096,1048576,1.051016
67,/dev/nvme0n1,2000398934016,4096,1048576,1.068663
68,/dev/nvme0n1,2000398934016,4096,1048576,1.130095
69,/dev/nvme0n1,2000398934016,4096,1048576,1.057736
70,/dev/nvme0n1,2000398934016,4096,1048576,1.126380
71,/dev/nvme0n1,2000398934016,4096,1048576,1.075413
72,/dev/nvme0n1,2000398934016,4096,1048576,1.069814
73,/dev/nvme0n1,2000398934016,4096,1048576,1.076785
74,/dev/nvme0n1,2000398934016,4096,1048576,1.092669
75,/dev/nvme0n1,2000398934016,4096,1048576,1.078047
76,/dev/nvme0n1,2000398934016,4096,1048576,1.069705
77,/dev/nvme0n1,2000398934016,4096,1048576,1.059890
78,/dev/nvme0n1,2000398934016,4096,1048576,1.143146
79,/dev/nvme0n1,2000398934016,4096,1048576,1.077336
80,/dev/nvme0n1,2000398934016,4096,1048576,1.069264
81,/dev/nvme0n1,2000398934016,4096,1048576,1.100861
82,/dev/nvme0n1,2000398934016,4096,1048576,1.069294
83,/dev/nvme0n1,2000398934016,4096,1048576,1.094733
84,/dev/nvme0n1,2000398934016,4096,1048576,1.081492
85,/dev/nvme0n1,2000398934016,4096,1048576,1.114633
86,/dev/nvme0n1,2000398934016,4096,1048576,1.063976
87,/dev/nvme0n1,2000398934016,4096,1048576,1.111768
88,/dev/nvme0n1,2000398934016,4096,1048576,1.081071
89,/dev/nvme0n1,2000398934016,4096,1048576,1.063735
90,/dev/nvme0n1,2000398934016,4096,1048576,1.066299
91,/dev/nvme0n1,2000398934016,4096,1048576,1.068242
92,/dev/nvme0n1,2000398934016,4096,1048576,1.064076
93,/dev/nvme0n1,2000398934016,4096,1048576,1.065267
94,/dev/nvme0n1,2000398934016,4096,1048576,1.120421
95,/dev/nvme0n1,2000398934016,4096,1048576,1.128503
96,/dev/nvme0n1,2000398934016,4096,1048576,1.060260
97,/dev/nvme0n1,2000398934016,4096,1048576,1.043194
98,/dev/nvme0n1,2000398934016,4096,1048576,1.070485
99,/dev/nvme0n1,2000398934016,4096,1048576,1.080721
0,/dev/nvme0n1,2000398934016,4096,10485760,10.812076
1,/dev/nvme0n1,2000398934016,4096,10485760,10.873729
2,/dev/nvme0n1,2000398934016,4096,10485760,10.796743
3,/dev/nvme0n1,2000398934016,4096,10485760,10.824515
4,/dev/nvme0n1,2000398934016,4096,10485760,10.874391
5,/dev/nvme0n1,2000398934016,4096,10485760,10.831406
6,/dev/nvme0n1,2000398934016,4096,10485760,10.964837
7,/dev/nvme0n1,2000398934016,4096,10485760,10.960190
8,/dev/nvme0n1,2000398934016,4096,10485760,10.973860
9,/dev/nvme0n1,2000398934016,4096,10485760,10.851526
10,/dev/nvme0n1,2000398934016,4096,10485760,10.834631
11,/dev/nvme0n1,2000398934016,4096,10485760,10.924626
12,/dev/nvme0n1,2000398934016,4096,10485760,10.890805
13,/dev/nvme0n1,2000398934016,4096,10485760,10.988443
14,/dev/nvme0n1,2000398934016,4096,10485760,10.915583
15,/dev/nvme0n1,2000398934016,4096,10485760,10.883164
16,/dev/nvme0n1,2000398934016,4096,10485760,10.987541
17,/dev/nvme0n1,2000398934016,4096,10485760,10.989043
18,/dev/nvme0n1,2000398934016,4096,10485760,10.867671
19,/dev/nvme0n1,2000398934016,4096,10485760,10.916314
20,/dev/nvme0n1,2000398934016,4096,10485760,10.900741
21,/dev/nvme0n1,2000398934016,4096,10485760,10.876644
22,/dev/nvme0n1,2000398934016,4096,10485760,10.786608
23,/dev/nvme0n1,2000398934016,4096,10485760,10.856013
24,/dev/nvme0n1,2000398934016,4096,10485760,10.959189
25,/dev/nvme0n1,2000398934016,4096,10485760,10.897065
26,/dev/nvme0n1,2000398934016,4096,10485760,10.877516
27,/dev/nvme0n1,2000398934016,4096,10485760,10.915973
28,/dev/nvme0n1,2000398934016,4096,10485760,10.894661
