run,device,bypass_page_cache,device_size,page_size,size,time
0,/dev/nvme0n1,true,2000398934016,4096,1048576,0.955187
1,/dev/nvme0n1,true,2000398934016,4096,1048576,0.902900
2,/dev/nvme0n1,true,2000398934016,4096,1048576,0.979022
3,/dev/nvme0n1,true,2000398934016,4096,1048576,0.975175
4,/dev/nvme0n1,true,2000398934016,4096,1048576,0.898111
5,/dev/nvme0n1,true,2000398934016,4096,1048576,0.880638
6,/dev/nvme0n1,true,2000398934016,4096,1048576,1.025870
7,/dev/nvme0n1,true,2000398934016,4096,1048576,0.913179
8,/dev/nvme0n1,true,2000398934016,4096,1048576,0.895666
9,/dev/nvme0n1,true,2000398934016,4096,1048576,0.965216
10,/dev/nvme0n1,true,2000398934016,4096,1048576,1.000402
11,/dev/nvme0n1,true,2000398934016,4096,1048576,1.075242
12,/dev/nvme0n1,true,2000398934016,4096,1048576,1.003488
13,/dev/nvme0n1,true,2000398934016,4096,1048576,0.918169
14,/dev/nvme0n1,true,2000398934016,4096,1048576,1.004941
15,/dev/nvme0n1,true,2000398934016,4096,1048576,0.914381
16,/dev/nvme0n1,true,2000398934016,4096,1048576,0.982028
17,/dev/nvme0n1,true,2000398934016,4096,1048576,0.890667
18,/dev/nvme0n1,true,2000398934016,4096,1048576,0.934489
19,/dev/nvme0n1,true,2000398934016,4096,1048576,0.951461
20,/dev/nvme0n1,true,2000398934016,4096,1048576,7.880597
21,/dev/nvme0n1,true,2000398934016,4096,1048576,1.178295
22,/dev/nvme0n1,true,2000398934016,4096,1048576,0.909662
23,/dev/nvme0n1,true,2000398934016,4096,1048576,1.106941
24,/dev/nvme0n1,true,2000398934016,4096,1048576,1.141135
25,/dev/nvme0n1,true,2000398934016,4096,1048576,0.989562
26,/dev/nvme0n1,true,2000398934016,4096,1048576,0.935641
27,/dev/nvme0n1,true,2000398934016,4096,1048576,1.192622
28,/dev/nvme0n1,true,2000398934016,4096,1048576,0.905595
29,/dev/nvme0n1,true,2000398934016,4096,1048576,2.519024
30,/dev/nvme0n1,true,2000398934016,4096,1048576,0.996916
31,/dev/nvme0n1,true,2000398934016,4096,1048576,0.965396
32,/dev/nvme0n1,true,2000398934016,4096,1048576,0.980004
33,/dev/nvme0n1,true,2000398934016,4096,1048576,0.930782
34,/dev/nvme0n1,true,2000398934016,4096,1048576,0.888242
35,/dev/nvme0n1,true,2000398934016,4096,1048576,0.986827
36,/dev/nvme0n1,true,2000398934016,4096,1048576,0.911576
37,/dev/nvme0n1,true,2000398934016,4096,1048576,0.947293
38,/dev/nvme0n1,true,2000398934016,4096,1048576,0.867403
39,/dev/nvme0n1,true,2000398934016,4096,1048576,1.033504
40,/dev/nvme0n1,true,2000398934016,4096,1048576,1.055004
41,/dev/nvme0n1,true,2000398934016,4096,1048576,0.884095
42,/dev/nvme0n1,true,2000398934016,4096,1048576,0.997046
43,/dev/nvme0n1,true,2000398934016,4096,1048576,0.993619
44,/dev/nvme0n1,true,2000398934016,4096,1048576,1.145183
45,/dev/nvme0n1,true,2000398934016,4096,1048576,0.867594
46,/dev/nvme0n1,true,2000398934016,4096,1048576,0.972831
47,/dev/nvme0n1,true,2000398934016,4096,1048576,0.917577
48,/dev/nvme0n1,true,2000398934016,4096,1048576,0.922837
49,/dev/nvme0n1,true,2000398934016,4096,1048576,0.905575
50,/dev/nvme0n1,true,2000398934016,4096,1048576,0.914331
51,/dev/nvme0n1,true,2000398934016,4096,1048576,0.859097
52,/dev/nvme0n1,true,2000398934016,4096,1048576,0.885498
53,/dev/nvme0n1,true,2000398934016,4096,1048576,0.921594
54,/dev/nvme0n1,true,2000398934016,4096,1048576,1.055545
55,/dev/nvme0n1,true,2000398934016,4096,1048576,0.902979
56,/dev/nvme0n1,true,2000398934016,4096,1048576,1.084469
57,/dev/nvme0n1,true,2000398934016,4096,1048576,0.899193
58,/dev/nvme0n1,true,2000398934016,4096,1048576,1.026050
59,/dev/nvme0n1,true,2000398934016,4096,1048576,1.071074
60,/dev/nvme0n1,true,2000398934016,4096,1048576,0.937815
61,/dev/nvme0n1,true,2000398934016,4096,1048576,0.898491
62,/dev/nvme0n1,true,2000398934016,4096,1048576,0.954136
63,/dev/nvme0n1,true,2000398934016,4096,1048576,0.935611
64,/dev/nvme0n1,true,2000398934016,4096,1048576,0.909913
65,/dev/nvme0n1,true,2000398934016,4096,1048576,0.949647
66,/dev/nvme0n1,true,2000398934016,4096,1048576,0.980635
67,/dev/nvme0n1,true,2000398934016,4096,1048576,1.033293
68,/dev/nvme0n1,true,2000398934016,4096,1048576,0.906507
69,/dev/nvme0n1,true,2000398934016,4096,1048576,0.937565
70,/dev/nvme0n1,true,2000398934016,4096,1048576,0.853507
71,/dev/nvme0n1,true,2000398934016,4096,1048576,0.972600
72,/dev/nvme0n1,true,2000398934016,4096,1048576,1.122200
73,/dev/nvme0n1,true,2000398934016,4096,1048576,0.984312
74,/dev/nvme0n1,true,2000398934016,4096,1048576,0.856763
75,/dev/nvme0n1,true,2000398934016,4096,1048576,1.003348
76,/dev/nvme0n1,true,2000398934016,4096,1048576,1.097784
77,/dev/nvme0n1,true,2000398934016,4096,1048576,0.884706
78,/dev/nvme0n1,true,2000398934016,4096,1048576,0.990263
79,/dev/nvme0n1,true,2000398934016,4096,1048576,0.912137
80,/dev/nvme0n1,true,2000398934016,4096,1048576,0.875859
81,/dev/nvme0n1,true,2000398934016,4096,1048576,0.877172
82,/dev/nvme0n1,true,2000398934016,4096,1048576,0.872663
83,/dev/nvme0n1,true,2000398934016,4096,1048576,0.968973
84,/dev/nvme0n1,true,2000398934016,4096,1048576,1.044164
85,/dev/nvme0n1,true,2000398934016,4096,1048576,0.881890
86,/dev/nvme0n1,true,2000398934016,4096,1048576,1.069291
87,/dev/nvme0n1,true,2000398934016,4096,1048576,1.061897
88,/dev/nvme0n1,true,2000398934016,4096,1048576,0.898822
89,/dev/nvme0n1,true,2000398934016,4096,1048576,0.932976
90,/dev/nvme0n1,true,2000398934016,4096,1048576,0.914441
91,/dev/nvme0n1,true,2000398934016,4096,1048576,1.017584
92,/dev/nvme0n1,true,2000398934016,4096,1048576,0.992287
93,/dev/nvme0n1,true,2000398934016,4096,1048576,0.923739
94,/dev/nvme0n1,true,2000398934016,4096,1048576,1.057830
95,/dev/nvme0n1,true,2000398934016,4096,1048576,0.997106
96,/dev/nvme0n1,true,2000398934016,4096,1048576,0.848788
97,/dev/nvme0n1,true,2000398934016,4096,1048576,0.998759
98,/dev/nvme0n1,true,2000398934016,4096,1048576,0.876661
99,/dev/nvme0n1,true,2000398934016,4096,1048576,0.990443
0,/dev/nvme0n1,true,2000398934016,4096,10485760,9.645961
1,/dev/nvme0n1,true,2000398934016,4096,10485760,16.113384
2,/dev/nvme0n1,true,2000398934016,4096,10485760,11.709212
3,/dev/nvme0n1,true,2000398934016,4096,10485760,9.602519
4,/dev/nvme0n1,true,2000398934016,4096,10485760,9.897992
5,/dev/nvme0n1,true,2000398934016,4096,10485760,9.883295
6,/dev/nvme0n1,true,2000398934016,4096,10485760,9.624240
7,/dev/nvme0n1,true,2000398934016,4096,10485760,9.728915
8,/dev/nvme0n1,true,2000398934016,4096,10485760,10.108917
9,/dev/nvme0n1,true,2000398934016,4096,10485760,11.243661
10,/dev/nvme0n1,true,2000398934016,4096,10485760,11.233071
11,/dev/nvme0n1,true,2000398934016,4096,10485760,9.645160
12,/dev/nvme0n1,true,2000398934016,4096,10485760,9.522850
13,/dev/nvme0n1,true,2000398934016,4096,10485760,9.657092
14,/dev/nvme0n1,true,2000398934016,4096,10485760,9.421471
15,/dev/nvme0n1,true,2000398934016,4096,10485760,9.760185
16,/dev/nvme0n1,true,2000398934016,4096,10485760,9.852537
17,/dev/nvme0n1,true,2000398934016,4096,10485760,9.644889
18,/dev/nvme0n1,true,2000398934016,4096,10485760,9.664606
19,/dev/nvme0n1,true,2000398934016,4096,10485760,10.177886
20,/dev/nvme0n1,true,2000398934016,4096,10485760,9.882733
21,/dev/nvme0n1,true,2000398934016,4096,10485760,9.749044
22,/dev/nvme0n1,true,2000398934016,4096,10485760,9.758101
23,/dev/nvme0n1,true,2000398934016,4096,10485760,9.684583
24,/dev/nvme0n1,true,2000398934016,4096,10485760,9.582402
25,/dev/nvme0n1,true,2000398934016,4096,10485760,9.913993
26,/dev/nvme0n1,true,2000398934016,4096,10485760,10.140015
27,/dev/nvme0n1,true,2000398934016,4096,10485760,15.073958
28,/dev/nvme0n1,true,2000398934016,4096,10485760,9.748903
29,/dev/nvme0n1,true,2000398934016,4096,10485760,9.672901
30,/dev/nvme0n1,true,2000398934016,4096,10485760,9.432050
31,/dev/nvme0n1,true,2000398934016,4096,10485760,10.306317
32,/dev/nvme0n1,true,2000398934016,4096,10485760,9.571832
33,/dev/nvme0n1,true,2000398934016,4096,10485760,9.390022
34,/dev/nvme0n1,true,2000398934016,4096,10485760,11.284307
35,/dev/nvme0n1,true,2000398934016,4096,10485760,9.611617
36,/dev/nvme0n1,true,2000398934016,4096,10485760,9.599333
37,/dev/nvme0n1,true,2000398934016,4096,10485760,9.617878
38,/dev/nvme0n1,true,2000398934016,4096,10485760,9.723085
39,/dev/nvme0n1,true,2000398934016,4096,10485760,9.701585
40,/dev/nvme0n1,true,2000398934016,4096,10485760,10.205809
41,/dev/nvme0n1,true,2000398934016,4096,10485760,9.487664
42,/dev/nvme0n1,true,2000398934016,4096,10485760,9.850413
43,/dev/nvme0n1,true,2000398934016,4096,10485760,9.986558
44,/dev/nvme0n1,true,2000398934016,4096,10485760,9.401212
45,/dev/nvme0n1,true,2000398934016,4096,10485760,9.424427
46,/dev/nvme0n1,true,2000398934016,4096,10485760,9.665657
47,/dev/nvme0n1,true,2000398934016,4096,10485760,9.250951
48,/dev/nvme0n1,true,2000398934016,4096,10485760,9.796422
49,/dev/nvme0n1,true,2000398934016,4096,10485760,9.335159
50,/dev/nvme0n1,true,2000398934016,4096,10485760,9.567073
51,/dev/nvme0n1,true,2000398934016,4096,10485760,9.345358
52,/dev/nvme0n1,true,2000398934016,4096,10485760,9.641002
53,/dev/nvme0n1,true,2000398934016,4096,10485760,9.682049
54,/dev/nvme0n1,true,2000398934016,4096,10485760,10.232599
55,/dev/nvme0n1,true,2000398934016,4096,10485760,9.993651
56,/dev/nvme0n1,true,2000398934016,4096,10485760,10.062410
57,/dev/nvme0n1,true,2000398934016,4096,10485760,9.550492
58,/dev/nvme0n1,true,2000398934016,4096,10485760,9.533390
59,/dev/nvme0n1,true,2000398934016,4096,10485760,11.477317
60,/dev/nvme0n1,true,2000398934016,4096,10485760,11.144925
61,/dev/nvme0n1,true,2000398934016,4096,10485760,9.458470
62,/dev/nvme0n1,true,2000398934016,4096,10485760,9.328847
63,/dev/nvme0n1,true,2000398934016,4096,10485760,9.534081
64,/dev/nvme0n1,true,2000398934016,4096,10485760,9.298480
65,/dev/nvme0n1,true,2000398934016,4096,10485760,9.247044
66,/dev/nvme0n1,true,2000398934016,4096,10485760,9.478597
67,/dev/nvme0n1,true,2000398934016,4096,10485760,9.363833
68,/dev/nvme0n1,true,2000398934016,4096,10485760,9.218471
69,/dev/nvme0n1,true,2000398934016,4096,10485760,8.982599
70,/dev/nvme0n1,true,2000398934016,4096,10485760,17.176302
71,/dev/nvme0n1,true,2000398934016,4096,10485760,10.017817
72,/dev/nvme0n1,true,2000398934016,4096,10485760,9.458379
73,/dev/nvme0n1,true,2000398934016,4096,10485760,9.031511
74,/dev/nvme0n1,true,2000398934016,4096,10485760,9.494708
75,/dev/nvme0n1,true,2000398934016,4096,10485760,9.172655
76,/dev/nvme0n1,true,2000398934016,4096,10485760,9.452568
77,/dev/nvme0n1,true,2000398934016,4096,10485760,9.452850
78,/dev/nvme0n1,true,2000398934016,4096,10485760,9.402325
79,/dev/nvme0n1,true,2000398934016,4096,10485760,9.472857
80,/dev/nvme0n1,true,2000398934016,4096,10485760,8.975306
81,/dev/nvme0n1,true,2000398934016,4096,10485760,9.494888
82,/dev/nvme0n1,true,2000398934016,4096,10485760,9.309611
83,/dev/nvme0n1,true,2000398934016,4096,10485760,9.560771
84,/dev/nvme0n1,true,2000398934016,4096,10485760,8.963092
85,/dev/nvme0n1,true,2000398934016,4096,10485760,9.481172
86,/dev/nvme0n1,true,2000398934016,4096,10485760,9.367539
87,/dev/nvme0n1,true,2000398934016,4096,10485760,9.978593
88,/dev/nvme0n1,true,2000398934016,4096,10485760,9.193815
89,/dev/nvme0n1,true,2000398934016,4096,10485760,9.263244
90,/dev/nvme0n1,true,2000398934016,4096,10485760,9.349236
91,/dev/nvme0n1,true,2000398934016,4096,10485760,9.288372
92,/dev/nvme0n1,true,2000398934016,4096,10485760,9.483967
93,/dev/nvme0n1,true,2000398934016,4096,10485760,9.120607
94,/dev/nvme0n1,true,2000398934016,4096,10485760,9.328005
95,/dev/nvme0n1,true,2000398934016,4096,10485760,8.671597
96,/dev/nvme0n1,true,2000398934016,4096,10485760,9.367500
97,/dev/nvme0n1,true,2000398934016,4096,10485760,9.278012
98,/dev/nvme0n1,true,2000398934016,4096,10485760,9.299072
99,/dev/nvme0n1,true,2000398934016,4096,10485760,9.432661
0,/dev/nvme0n1,true,2000398934016,4096,104857600,93.569619
1,/dev/nvme0n1,true,2000398934016,4096,104857600,109.783530
2,/dev/nvme0n1,true,2000398934016,4096,104857600,108.600526
3,/dev/nvme0n1,true,2000398934016,4096,104857600,100.295945
4,/dev/nvme0n1,true,2000398934016,4096,104857600,95.796165
5,/dev/nvme0n1,true,2000398934016,4096,104857600,96.300278
6,/dev/nvme0n1,true,2000398934016,4096,104857600,93.265519
7,/dev/nvme0n1,true,2000398934016,4096,104857600,94.258127
8,/dev/nvme0n1,true,2000398934016,4096,104857600,99.509745
9,/dev/nvme0n1,true,2000398934016,4096,104857600,93.598062
10,/dev/nvme0n1,true,2000398934016,4096,104857600,100.077066
11,/dev/nvme0n1,true,2000398934016,4096,104857600,92.882843
12,/dev/nvme0n1,true,2000398934016,4096,104857600,94.209967
13,/dev/nvme0n1,true,2000398934016,4096,104857600,99.636652
14,/dev/nvme0n1,true,2000398934016,4096,104857600,94.806593
15,/dev/nvme0n1,true,2000398934016,4096,104857600,106.103825
16,/dev/nvme0n1,true,2000398934016,4096,104857600,93.289014
17,/dev/nvme0n1,true,2000398934016,4096,104857600,100.551604
18,/dev/nvme0n1,true,2000398934016,4096,104857600,93.640170
19,/dev/nvme0n1,true,2000398934016,4096,104857600,96.436023
20,/dev/nvme0n1,true,2000398934016,4096,104857600,94.941246
21,/dev/nvme0n1,true,2000398934016,4096,104857600,102.821412
22,/dev/nvme0n1,true,2000398934016,4096,104857600,95.501724
23,/dev/nvme0n1,true,2000398934016,4096,104857600,92.350537
24,/dev/nvme0n1,true,2000398934016,4096,104857600,93.118024
25,/dev/nvme0n1,true,2000398934016,4096,104857600,98.637913
26,/dev/nvme0n1,true,2000398934016,4096,104857600,100.734456
27,/dev/nvme0n1,true,2000398934016,4096,104857600,94.189940
28,/dev/nvme0n1,true,2000398934016,4096,104857600,101.160964
29,/dev/nvme0n1,true,2000398934016,4096,104857600,95.562047
30,/dev/nvme0n1,true,2000398934016,4096,104857600,93.925925
31,/dev/nvme0n1,true,2000398934016,4096,104857600,96.470528
32,/dev/nvme0n1,true,2000398934016,4096,104857600,95.671642
33,/dev/nvme0n1,true,2000398934016,4096,104857600,94.294796
34,/dev/nvme0n1,true,2000398934016,4096,104857600,101.081657
35,/dev/nvme0n1,true,2000398934016,4096,104857600,93.257074
36,/dev/nvme0n1,true,2000398934016,4096,104857600,95.525540
37,/dev/nvme0n1,true,2000398934016,4096,104857600,100.297389
38,/dev/nvme0n1,true,2000398934016,4096,104857600,95.862049
39,/dev/nvme0n1,true,2000398934016,4096,104857600,96.908056
40,/dev/nvme0n1,true,2000398934016,4096,104857600,91.922577
41,/dev/nvme0n1,true,2000398934016,4096,104857600,92.698289
42,/dev/nvme0n1,true,2000398934016,4096,104857600,94.130889
43,/dev/nvme0n1,true,2000398934016,4096,104857600,96.677023
44,/dev/nvme0n1,true,2000398934016,4096,104857600,99.422822
45,/dev/nvme0n1,true,2000398934016,4096,104857600,92.797634
46,/dev/nvme0n1,true,2000398934016,4096,104857600,95.665952
47,/dev/nvme0n1,true,2000398934016,4096,104857600,107.078969
48,/dev/nvme0n1,true,2000398934016,4096,104857600,93.813576
49,/dev/nvme0n1,true,2000398934016,4096,104857600,94.177487
50,/dev/nvme0n1,true,2000398934016,4096,104857600,98.081272
51,/dev/nvme0n1,true,2000398934016,4096,104857600,99.753721
52,/dev/nvme0n1,true,2000398934016,4096,104857600,94.346743
53,/dev/nvme0n1,true,2000398934016,4096,104857600,94.943230
54,/dev/nvme0n1,true,2000398934016,4096,104857600,121.016070
55,/dev/nvme0n1,true,2000398934016,4096,104857600,403.747732
56,/dev/nvme0n1,true,2000398934016,4096,104857600,313.136008
57,/dev/nvme0n1,true,2000398934016,4096,104857600,299.354569
58,/dev/nvme0n1,true,2000398934016,4096,104857600,267.566985
59,/dev/nvme0n1,true,2000398934016,4096,104857600,93.919123
60,/dev/nvme0n1,true,2000398934016,4096,104857600,94.579308
61,/dev/nvme0n1,true,2000398934016,4096,104857600,93.260250
62,/dev/nvme0n1,true,2000398934016,4096,104857600,96.938533
63,/dev/nvme0n1,true,2000398934016,4096,104857600,95.552920
64,/dev/nvme0n1,true,2000398934016,4096,104857600,99.860862
65,/dev/nvme0n1,true,2000398934016,4096,104857600,96.072553
66,/dev/nvme0n1,true,2000398934016,4096,104857600,93.975548
67,/dev/nvme0n1,true,2000398934016,4096,104857600,92.147468
68,/dev/nvme0n1,true,2000398934016,4096,104857600,99.693869
69,/dev/nvme0n1,true,2000398934016,4096,104857600,94.273336
70,/dev/nvme0n1,true,2000398934016,4096,104857600,93.332786
71,/dev/nvme0n1,true,2000398934016,4096,104857600,99.801271
72,/dev/nvme0n1,true,2000398934016,4096,104857600,108.075925
73,/dev/nvme0n1,true,2000398934016,4096,104857600,94.384374
74,/dev/nvme0n1,true,2000398934016,4096,104857600,99.489377
75,/dev/nvme0n1,true,2000398934016,4096,104857600,94.048725
76,/dev/nvme0n1,true,2000398934016,4096,104857600,102.174431
77,/dev/nvme0n1,true,2000398934016,4096,104857600,97.090167
78,/dev/nvme0n1,true,2000398934016,4096,104857600,93.296328
79,/dev/nvme0n1,true,2000398934016,4096,104857600,99.777406
80,/dev/nvme0n1,true,2000398934016,4096,104857600,98.394428
81,/dev/nvme0n1,true,2000398934016,4096,104857600,96.958911
82,/dev/nvme0n1,true,2000398934016,4096,104857600,100.530445
83,/dev/nvme0n1,true,2000398934016,4096,104857600,95.865084
84,/dev/nvme0n1,true,2000398934016,4096,104857600,93.861105
85,/dev/nvme0n1,true,2000398934016,4096,104857600,94.756319
86,/dev/nvme0n1,true,2000398934016,4096,104857600,93.899546
87,/dev/nvme0n1,true,2000398934016,4096,104857600,100.009831
88,/dev/nvme0n1,true,2000398934016,4096,104857600,93.246715
89,/dev/nvme0n1,true,2000398934016,4096,104857600,94.352825
90,/dev/nvme0n1,true,2000398934016,4096,104857600,96.089805
91,/dev/nvme0n1,true,2000398934016,4096,104857600,97.685341
92,/dev/nvme0n1,true,2000398934016,4096,104857600,93.874560
93,/dev/nvme0n1,true,2000398934016,4096,104857600,93.080574
94,/dev/nvme0n1,true,2000398934016,4096,104857600,93.665187
95,/dev/nvme0n1,true,2000398934016,4096,104857600,99.557805
96,/dev/nvme0n1,true,2000398934016,4096,104857600,100.149032
97,/dev/nvme0n1,true,2000398934016,4096,104857600,99.985315
98,/dev/nvme0n1,true,2000398934016,4096,104857600,92.970367
99,/dev/nvme0n1,true,2000398934016,4096,104857600,98.705309
0,/dev/nvme0n1,true,2000398934016,4096,1073741824,1010.013226
1,/dev/nvme0n1,true,2000398934016,4096,1073741824,987.922888
2,/dev/nvme0n1,true,2000398934016,4096,1073741824,979.658624
3,/dev/nvme0n1,true,2000398934016,4096,1073741824,1011.963848
4,/dev/nvme0n1,true,2000398934016,4096,1073741824,1615.791218
5,/dev/nvme0n1,true,2000398934016,4096,1073741824,993.702535
6,/dev/nvme0n1,true,2000398934016,4096,1073741824,984.914520
7,/dev/nvme0n1,true,2000398934016,4096,1073741824,979.829395
8,/dev/nvme0n1,true,2000398934016,4096,1073741824,986.113074
9,/dev/nvme0n1,true,2000398934016,4096,1073741824,1172.726220
10,/dev/nvme0n1,true,2000398934016,4096,1073741824,1704.407122
11,/dev/nvme0n1,true,2000398934016,4096,1073741824,999.078168
12,/dev/nvme0n1,true,2000398934016,4096,1073741824,1869.881121
13,/dev/nvme0n1,true,2000398934016,4096,1073741824,994.164454
14,/dev/nvme0n1,true,2000398934016,4096,1073741824,1007.243819
15,/dev/nvme0n1,true,2000398934016,4096,1073741824,1313.748914
16,/dev/nvme0n1,true,2000398934016,4096,1073741824,1515.217349
17,/dev/nvme0n1,true,2000398934016,4096,1073741824,980.027280
18,/dev/nvme0n1,true,2000398934016,4096,1073741824,990.861194
19,/dev/nvme0n1,true,2000398934016,4096,1073741824,990.779411
20,/dev/nvme0n1,true,2000398934016,4096,1073741824,975.285989
21,/dev/nvme0n1,true,2000398934016,4096,1073741824,971.479816
22,/dev/nvme0n1,true,2000398934016,4096,1073741824,969.248912
23,/dev/nvme0n1,true,2000398934016,4096,1073741824,971.411289
24,/dev/nvme0n1,true,2000398934016,4096,1073741824,1122.746979
25,/dev/nvme0n1,true,2000398934016,4096,1073741824,1013.599307
26,/dev/nvme0n1,true,2000398934016,4096,1073741824,984.925770
27,/dev/nvme0n1,true,2000398934016,4096,1073741824,975.139316
28,/dev/nvme0n1,true,2000398934016,4096,1073741824,965.733054
29,/dev/nvme0n1,true,2000398934016,4096,1073741824,981.427083
30,/dev/nvme0n1,true,2000398934016,4096,1073741824,982.717018
31,/dev/nvme0n1,true,2000398934016,4096,1073741824,989.580262
32,/dev/nvme0n1,true,2000398934016,4096,1073741824,978.988391
33,/dev/nvme0n1,true,2000398934016,4096,1073741824,983.582959
34,/dev/nvme0n1,true,2000398934016,4096,1073741824,979.837220
35,/dev/nvme0n1,true,2000398934016,4096,1073741824,1426.172596
36,/dev/nvme0n1,true,2000398934016,4096,1073741824,1359.056900
37,/dev/nvme0n1,true,2000398934016,4096,1073741824,972.261615
38,/dev/nvme0n1,true,2000398934016,4096,1073741824,971.447552
39,/dev/nvme0n1,true,2000398934016,4096,1073741824,1787.316824
40,/dev/nvme0n1,true,2000398934016,4096,1073741824,953.320069
