repetition,device,device_size,page_size,size,time
0,/dev/nvme0n1,1024209543168,4096,1048576,5.913189
1,/dev/nvme0n1,1024209543168,4096,1048576,4.299612
2,/dev/nvme0n1,1024209543168,4096,1048576,4.156003
3,/dev/nvme0n1,1024209543168,4096,1048576,2.543828
4,/dev/nvme0n1,1024209543168,4096,1048576,2.264395
5,/dev/nvme0n1,1024209543168,4096,1048576,2.188172
6,/dev/nvme0n1,1024209543168,4096,1048576,2.181951
7,/dev/nvme0n1,1024209543168,4096,1048576,2.141496
8,/dev/nvme0n1,1024209543168,4096,1048576,2.226484
9,/dev/nvme0n1,1024209543168,4096,1048576,2.136466
10,/dev/nvme0n1,1024209543168,4096,1048576,2.131908
11,/dev/nvme0n1,1024209543168,4096,1048576,2.101751
12,/dev/nvme0n1,1024209543168,4096,1048576,2.075482
13,/dev/nvme0n1,1024209543168,4096,1048576,2.135935
14,/dev/nvme0n1,1024209543168,4096,1048576,2.066495
15,/dev/nvme0n1,1024209543168,4096,1048576,2.068599
16,/dev/nvme0n1,1024209543168,4096,1048576,2.167143
17,/dev/nvme0n1,1024209543168,4096,1048576,2.035517
18,/dev/nvme0n1,1024209543168,4096,1048576,2.040777
19,/dev/nvme0n1,1024209543168,4096,1048576,2.049854
20,/dev/nvme0n1,1024209543168,4096,1048576,2.034224
21,/dev/nvme0n1,1024209543168,4096,1048576,2.055654
22,/dev/nvme0n1,1024209543168,4096,1048576,2.025418
23,/dev/nvme0n1,1024209543168,4096,1048576,2.036439
24,/dev/nvme0n1,1024209543168,4096,1048576,2.166963
25,/dev/nvme0n1,1024209543168,4096,1048576,2.033643
26,/dev/nvme0n1,1024209543168,4096,1048576,2.043973
27,/dev/nvme0n1,1024209543168,4096,1048576,2.070051
28,/dev/nvme0n1,1024209543168,4096,1048576,2.049503
29,/dev/nvme0n1,1024209543168,4096,1048576,2.030066
30,/dev/nvme0n1,1024209543168,4096,1048576,2.022963
31,/dev/nvme0n1,1024209543168,4096,1048576,2.029987
32,/dev/nvme0n1,1024209543168,4096,1048576,2.133531
33,/dev/nvme0n1,1024209543168,4096,1048576,2.029425
34,/dev/nvme0n1,1024209543168,4096,1048576,2.034335
35,/dev/nvme0n1,1024209543168,4096,1048576,2.050474
36,/dev/nvme0n1,1024209543168,4096,1048576,2.031139
37,/dev/nvme0n1,1024209543168,4096,1048576,2.058440
38,/dev/nvme0n1,1024209543168,4096,1048576,2.065924
39,/dev/nvme0n1,1024209543168,4096,1048576,2.030578
40,/dev/nvme0n1,1024209543168,4096,1048576,2.083016
41,/dev/nvme0n1,1024209543168,4096,1048576,2.031600
